mode,operation_count,repetition,accepted,rejected,capability_issuance_count,issuance_total_ms,preissue_wall_ms,online_session_ms,lifecycle_session_ms,consumed_nonce_delta,challenge_delta,consumed_challenge_delta
on_demand,100,5,100,0,100,333.927496,0.0,1106.052125,1106.052125,100,100,100
on_demand,100,6,100,0,100,359.194002,0.0,1204.522459,1204.522459,100,100,100
on_demand,100,7,100,0,100,372.104997,0.0,1245.054501,1245.054501,100,100,100
on_demand,100,8,100,0,100,347.883246,0.0,1157.779417,1157.779417,100,100,100
on_demand,100,9,100,0,100,336.775757,0.0,1144.444209,1144.444209,100,100,100
on_demand,100,10,100,0,100,336.853752,0.0,1147.987875,1147.987875,100,100,100
on_demand,500,1,500,0,500,1772.937452,0.0,5977.924961,5977.924961,500,500,500
on_demand,500,2,500,0,500,1740.155542,0.0,5891.747544,5891.747544,500,500,500
on_demand,500,3,500,0,500,1770.967755,0.0,5952.750836,5952.750836,500,500,500
on_demand,500,4,500,0,500,1724.001426,0.0,5856.814045,5856.814045,500,500,500
on_demand,500,5,500,0,500,1958.695886,0.0,6510.79467,6510.79467,500,500,500
on_demand,500,6,500,0,500,2251.235582,0.0,7253.846503,7253.846503,500,500,500
on_demand,500,7,500,0,500,1783.18796,0.0,6007.575711,6007.575711,500,500,500
on_demand,500,8,500,0,500,1773.389492,0.0,5898.081753,5898.081753,500,500,500
on_demand,500,9,500,0,500,1774.241453,0.0,5970.147045,5970.147045,500,500,500
on_demand,500,10,500,0,500,1742.692339,0.0,5863.434503,5863.434503,500,500,500
on_demand,1000,1,1000,0,1000,3706.209589,0.0,12434.125381,12434.125381,1000,1000,1000
on_demand,1000,2,1000,0,1000,3829.100879,0.0,12708.821714,12708.821714,1000,1000,1000
on_demand,1000,3,1000,0,1000,3645.652749,0.0,12214.098589,12214.098589,1000,1000,1000
on_demand,1000,4,1000,0,1000,3509.528969,0.0,11858.157463,11858.157463,1000,1000,1000
on_demand,1000,5,1000,0,1000,3595.282676,0.0,12192.928673,12192.928673,1000,1000,1000
on_demand,1000,6,1000,0,1000,3645.176998,0.0,12355.583047,12355.583047,1000,1000,1000
on_demand,1000,7,1000,0,1000,3549.257286,0.0,11870.669463,11870.669463,1000,1000,1000
on_demand,1000,8,1000,0,1000,3990.145139,0.0,13059.443214,13059.443214,1000,1000,1000
on_demand,1000,9,1000,0,1000,3537.801742,0.0,11906.60063,11906.60063,1000,1000,1000
on_demand,1000,10,1000,0,1000,3527.41225,0.0,11928.396506,11928.396506,1000,1000,1000
preissued_pool,1,1,1,0,1,4.258042,4.263625,7.254833,11.518458,1,1,1
preissued_pool,1,2,1,0,1,3.907208,3.911334,7.280375,11.191709,1,1,1
preissued_pool,1,3,1,0,1,3.535458,3.540042,8.469625,12.009667,1,1,1
preissued_pool,1,4,1,0,1,4.388667,4.393083,8.826041,13.219124,1,1,1
preissued_pool,1,5,1,0,1,3.829583,3.834625,8.62775,12.462375,1,1,1
preissued_pool,1,6,1,0,1,3.707709,3.71225,7.352916,11.065166,1,1,1
preissued_pool,1,7,1,0,1,4.347292,4.35175,9.025041,13.376791,1,1,1
preissued_pool,1,8,1,0,1,4.719167,4.723834,10.576375,15.300209,1,1,1
preissued_pool,1,9,1,0,1,3.842958,3.847625,7.6145,11.462125,1,1,1
preissued_pool,1,10,1,0,1,3.5235,3.528208,7.558542,11.08675,1,1,1
preissued_pool,10,1,10,0,10,35.936333,35.969667,84.018792,119.988459,10,10,10
preissued_pool,10,2,10,0,10,34.661708,34.692792,78.104292,112.797084,10,10,10
preissued_pool,10,3,10,0,10,30.11879,30.147292,71.619959,101.767251,10,10,10
preissued_pool,10,4,10,0,10,35.112415,35.145,78.506626,113.651626,10,10,10
preissued_pool,10,5,10,0,10,36.824544,36.8585,82.301791,119.160291,10,10,10
preissued_pool,10,6,10,0,10,33.78242,33.812208,81.397958,115.210166,10,10,10
preissued_pool,10,7,10,0,10,33.739124,33.770625,86.572959,120.343584,10,10,10
preissued_pool,10,8,10,0,10,32.432542,32.461458,75.343958,107.805416,10,10,10
preissued_pool,10,9,10,0,10,39.822417,39.859792,94.237084,134.096876,10,10,10
preissued_pool,10,10,10,0,10,47.699791,47.736334,99.15925,146.895584,10,10,10
preissued_pool,50,1,50,0,50,157.48521,157.641083,390.540709,548.181792,50,50,50
preissued_pool,50,2,50,0,50,193.28267,193.456042,451.38075,644.836792,50,50,50
preissued_pool,50,3,50,0,50,164.733375,164.877708,388.288958,553.166666,50,50,50
preissued_pool,50,4,50,0,50,152.16471,152.302958,369.578417,521.881375,50,50,50
preissued_pool,50,5,50,0,50,150.948001,151.081292,394.916209,545.997501,50,50,50
preissued_pool,50,6,50,0,50,178.607461,178.762542,519.805875,698.568417,50,50,50
preissued_pool,50,7,50,0,50,223.472912,223.638709,375.791542,599.430251,50,50,50
preissued_pool,50,8,50,0,50,155.878711,156.014375,421.168208,577.182583,50,50,50
preissued_pool,50,9,50,0,50,173.657208,173.811958,410.153375,583.965333,50,50,50
preissued_pool,50,10,50,0,50,188.053169,188.221292,411.801417,600.022709,50,50,50
preissued_pool,100,1,100,0,100,373.628219,373.922,878.232292,1252.154292,100,100,100
preissued_pool,100,2,100,0,100,320.838,321.119375,871.33025,1192.449625,100,100,100
preissued_pool,100,3,100,0,100,330.990879,331.288958,768.058209,1099.347167,100,100,100
preissued_pool,100,4,100,0,100,360.262916,360.580167,917.527917,1278.108084,100,100,100
preissued_pool,100,5,100,0,100,290.651006,290.903709,795.2535,1086.157209,100,100,100
preissued_pool,100,6,100,0,100,352.615756,352.935291,879.997375,1232.932666,100,100,100
preissued_pool,100,7,100,0,100,369.11083,369.437917,848.423251,1217.861168,100,100,100
preissued_pool,100,8,100,0,100,356.350544,356.669792,841.312542,1197.982334,100,100,100
preissued_pool,100,9,100,0,100,329.197544,329.520667,856.759334,1186.280001,100,100,100
preissued_pool,100,10,100,0,100,314.483752,314.7535,812.2305,1126.984,100,100,100
preissued_pool,500,1,500,0,500,2003.750465,2005.337043,5091.781253,7097.118296,500,500,500
preissued_pool,500,2,500,0,500,1718.679349,1720.259126,4429.520211,6149.779337,500,500,500
preissued_pool,500,3,500,0,500,1698.415116,1699.916293,4407.789794,6107.706087,500,500,500
preissued_pool,500,4,500,0,500,1681.362075,1682.894376,4263.983085,5946.877461,500,500,500
preissued_pool,500,5,500,0,500,1579.075328,1580.43775,4393.655002,5974.092752,500,500,500
preissued_pool,500,6,500,0,500,1639.879279,1641.394459,4221.36496,5862.759419,500,500,500
preissued_pool,500,7,500,0,500,1604.697862,1606.169042,4449.933377,6056.102419,500,500,500
preissued_pool,500,8,500,0,500,1866.378918,1867.930876,4407.33421,6275.265086,500,500,500
preissued_pool,500,9,500,0,500,1636.29389,1637.759626,4378.788752,6016.548378,500,500,500
preissued_pool,500,10,500,0,500,1604.379178,1605.831417,4340.012127,5945.843544,500,500,500
preissued_pool,1000,1,1000,0,1000,3604.010637,3607.250293,8578.797088,12186.047381,1000,1000,1000
preissued_pool,1000,2,1000,0,1000,3315.20194,3318.132376,8450.310671,11768.443047,1000,1000,1000
preissued_pool,1000,3,1000,0,1000,3239.330917,3242.238335,8869.677878,12111.916213,1000,1000,1000
preissued_pool,1000,4,1000,0,1000,3517.663447,3520.728502,8552.369879,12073.098381,1000,1000,1000
preissued_pool,1000,5,1000,0,1000,3368.550922,3371.54146,9081.073504,12452.614964,1000,1000,1000
preissued_pool,1000,6,1000,0,1000,3850.037927,3853.251043,8782.866046,12636.117089,1000,1000,1000
preissued_pool,1000,7,1000,0,1000,3603.336208,3606.567043,7921.370462,11527.937505,1000,1000,1000
preissued_pool,1000,8,1000,0,1000,3181.791194,3184.405502,7736.671336,10921.076838,1000,1000,1000
preissued_pool,1000,9,1000,0,1000,3024.303417,3026.834043,8192.550337,11219.38438,1000,1000,1000
preissued_pool,1000,10,1000,0,1000,3116.24336,3118.85596,7803.176003,10922.031963,1000,1000,1000
